기간,구분,아동학대의심사례 응급아동학대의심사례,아동학대의심사례,일반상담,동일신고,해외발생사례,교직원,의료인,아동복지시설종사자,장애인복지시설종사자,보육교직원,유치원교직원_강사,학원강사,소방구급대원,성매매피해시설상담소종사자,한부모가족복지시설종사자,가족폭력상담소보호시설종사자,사회복지전담공무원,아이돌보미,취약계층아동통합서비스지원인력,아동보호전문기관상담원,가정위탁지원센터종사자,아동복지전담공무원,건강가정지원센터종사자,다문화가족지원센터종사자,사회복지시설종사자,성폭력피해자보호시설종사자,응급구조사,의료기사,청소년시설_단체종사자,청소년보호센터_재활센터종사자,정신보건센터종사자,아동본인,부모,형제_자매,친인척,이웃_친구,경찰,종교인,사회복지관련종사자,낯선사람,익명,아동보호전문기관장과 종사자,의료사회복지사,법원
2015,충남,134,805,121,5,0,131,12,22,3,12,3,4,1,2,0,48,72,0,35,0,1,9,1,3,27,1,0,0,4,1,0,75,169,13,34,46,47,0,115,10,4,0,0,34
2015,전북,186,979,162,1,0,144,2,35,3,17,6,2,4,0,0,19,46,0,47,0,3,0,2,4,6,8,0,0,9,0,3,57,181,8,42,60,78,0,326,21,10,0,0,22
2015,전남,125,854,71,2,0,125,5,32,3,15,0,0,0,0,0,14,71,0,27,0,1,3,1,13,13,16,0,0,22,0,3,65,128,16,15,54,30,3,272,5,1,0,0,26
2015,경북,136,1063,198,11,1,142,7,15,1,14,5,12,0,1,0,19,44,0,19,0,1,2,2,6,9,13,0,0,4,1,1,101,173,16,30,43,43,1,430,21,4,0,0,19
2015,경남,147,770,29,0,0,88,2,7,2,24,1,0,1,2,0,48,39,6,12,0,1,2,2,0,6,4,0,0,11,4,3,61,146,16,23,26,62,1,273,10,6,0,0,28
2015,제주,41,323,102,1,0,42,0,11,0,3,1,0,0,0,0,4,2,0,0,0,0,0,0,2,7,1,0,0,5,2,0,45,80,7,12,34,32,0,55,4,5,0,0,10
2016,중앙,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,서울,454,2986,587,34,0,460,48,51,0,34,4,11,2,2,0,9,127,0,10,67,0,24,7,0,54,3,1,0,19,9,3,346,785,57,85,331,165,2,438,90,51,54,0,91
2016,부산,74,1248,118,8,0,242,14,24,0,8,7,0,1,3,0,12,41,0,10,21,5,11,3,1,45,8,0,0,25,28,2,126,265,10,43,80,58,3,80,32,17,56,0,41
2016,대구,147,852,95,6,0,208,9,12,0,9,3,2,0,2,4,4,31,0,11,35,0,3,1,0,13,4,0,0,4,1,2,93,205,7,18,59,40,2,119,31,7,29,0,31
2016,인천,164,1661,500,25,0,269,12,15,0,23,4,1,4,0,0,8,43,0,6,43,0,2,9,3,26,2,0,0,11,2,3,186,352,31,36,184,118,2,274,67,11,24,0,54
2016,광주,42,440,104,1,0,96,4,13,0,3,6,0,1,2,0,1,23,0,0,7,1,4,0,1,3,25,0,0,0,1,10,63,82,8,17,33,28,0,18,8,6,5,0,13
2016,대전,20,508,350,7,0,92,7,6,1,7,5,0,1,1,0,7,12,0,6,3,0,1,1,0,4,1,0,0,5,2,1,91,131,12,14,46,8,0,20,14,13,4,0,12
2016,울산,91,733,113,15,0,123,14,14,4,6,4,0,1,0,0,3,4,1,3,22,0,0,0,3,6,2,0,0,9,1,0,70,158,4,8,66,20,1,194,41,4,8,0,30
2016,경기,739,5211,571,44,0,845,55,75,6,68,38,2,10,2,0,41,134,0,76,139,0,14,8,5,91,15,0,0,39,11,11,682,1128,95,168,473,400,11,797,139,49,150,0,173
2016,강원,125,1130,48,7,0,199,7,33,5,16,7,1,2,0,0,12,46,0,20,41,0,3,0,1,14,4,0,1,8,0,4,72,181,13,39,64,49,3,203,24,28,94,0,61
2016,충북,183,1067,132,6,0,168,6,73,1,20,7,2,0,0,0,15,36,0,31,15,0,8,2,5,7,8,0,0,10,4,5,73,150,11,30,78,80,3,318,15,14,27,0,28
2016,충남,99,1033,195,1,0,212,7,26,2,22,14,1,2,0,2,39,56,0,13,21,2,8,4,0,13,0,1,1,13,2,0,94,189,20,36,77,82,0,106,20,3,21,0,23
2016,전북,179,1596,214,17,0,224,4,25,1,12,2,0,2,0,0,45,65,0,36,113,1,8,4,7,11,1,0,0,13,3,7,59,233,16,46,103,161,5,433,55,5,49,0,26
2016,전남,126,1393,111,3,0,235,3,34,4,15,4,1,0,0,2,26,75,0,35,37,1,2,2,2,11,15,0,0,29,5,1,98,207,16,35,89,69,3,327,24,12,41,0,59
2016,경북,160,1517,284,9,0,257,8,38,2,16,3,2,9,0,3,8,64,0,32,100,0,6,3,2,6,28,0,0,19,4,0,131,254,24,30,98,77,2,324,48,13,35,0,31
2016,경남,148,1287,46,3,2,275,15,52,1,18,4,1,3,0,0,62,50,0,4,27,1,3,0,2,7,6,0,0,19,0,2,60,198,9,37,50,48,3,387,32,5,18,0,36
2016,제주,45,420,136,3,0,73,3,7,0,9,2,0,1,0,0,9,8,0,3,4,0,1,0,3,1,0,0,0,0,2,0,78,101,8,15,27,23,0,50,9,6,4,0,18
2017,중앙,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,서울,275,3121,412,37,0,579,54,39,3,62,5,1,2,1,1,11,112,19,0,3,2,3,8,1,30,8,0,19,14,0,0,454,735,26,67,235,67,1,30,81,27,586,10,100
2017,부산,34,2070,185,10,0,531,6,35,3,15,8,1,3,0,6,7,64,8,1,2,8,1,2,0,60,11,3,20,15,0,0,232,328,19,53,113,25,2,18,43,16,404,1,40
2017,대구,144,1459,113,21,0,294,32,20,1,16,3,2,0,2,0,4,23,10,0,0,2,4,1,1,5,1,0,8,16,2,0,229,263,21,31,90,27,0,11,29,5,397,2,51
2017,인천,40,2230,433,22,0,348,25,16,2,26,10,0,2,1,2,4,172,18,0,0,0,1,1,0,13,5,0,6,2,0,0,323,343,29,56,285,30,2,14,68,51,350,3,62
2017,광주,20,925,80,11,0,124,7,7,1,4,1,0,0,0,0,9,26,9,4,0,1,0,3,0,5,0,0,7,21,0,0,125,135,15,14,45,34,0,7,10,16,278,1,36
2017,대전,29,826,88,6,0,124,13,23,0,8,0,0,1,0,0,9,3,10,1,0,1,0,1,0,6,1,1,4,1,0,0,201,196,21,24,89,4,2,15,16,6,32,4,38
2017,울산,62,802,82,7,0,141,9,13,3,12,1,0,2,0,0,3,3,4,0,4,0,1,1,0,13,0,0,0,2,1,0,147,126,9,8,56,6,1,6,17,1,254,3,17
2017,경기,597,6476,566,67,2,1138,79,51,8,86,49,2,11,2,2,21,92,49,0,5,1,5,5,0,107,5,0,78,26,1,0,1030,1372,75,159,512,171,5,80,202,52,1330,39,223
2017,강원,87,1173,68,5,0,174,7,32,0,12,4,0,4,0,1,3,32,13,0,0,3,2,0,0,13,0,0,23,12,0,0,108,161,12,32,44,15,0,4,12,10,487,3,37
2017,충북,137,1146,93,14,0,264,10,16,3,13,5,0,0,1,1,1,38,5,5,0,0,3,5,0,7,1,0,15,11,0,0,115,182,13,37,69,22,2,8,9,8,386,3,25
2017,충남,71,1407,165,15,0,265,9,22,1,8,10,0,2,0,0,21,40,46,1,5,2,0,0,0,8,0,0,30,2,0,0,162,269,27,48,60,25,3,13,33,7,319,2,38
2017,전북,151,1780,156,34,0,270,9,31,2,15,2,3,0,0,2,5,46,32,3,8,10,1,8,0,11,2,2,45,2,0,1,174,304,18,51,92,56,2,17,22,25,617,2,41
2017,전남,129,1661,101,16,0,278,5,42,4,13,9,0,1,2,1,9,58,15,3,0,4,7,0,0,51,4,2,23,20,0,0,209,263,34,64,77,30,2,39,55,26,336,2,102
2017,경북,182,2005,284,22,0,330,16,34,0,15,5,0,4,0,0,10,59,20,0,0,9,4,1,0,17,4,0,24,120,0,0,178,323,14,34,80,59,1,46,42,5,693,1,39
2017,경남,96,1260,29,3,0,241,13,15,1,8,0,0,1,0,0,48,50,3,2,0,5,1,2,0,10,0,0,15,9,0,0,110,220,15,38,73,70,0,15,29,13,310,3,36
2017,제주,40,488,96,2,0,67,2,11,1,0,3,0,0,0,0,4,1,10,0,0,0,0,0,0,1,1,0,0,1,0,0,86,108,11,22,43,4,1,0,17,3,102,0,29
2018,중앙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,서울,98,3285,237,43,0,702,40,34,7,20,10,2,6,0,4,5,50,30,0,14,2,1,1,0,24,19,0,9,6,1,0,455,844,51,64,211,24,7,40,54,20,523,5,0
2018,부산,33,2178,79,9,0,663,14,23,11,5,13,2,0,0,5,7,33,27,2,7,1,2,3,0,47,32,1,4,7,0,1,220,360,16,22,91,10,0,15,26,14,366,0,8
