공간정보관리번호,X좌표최소값,Y좌표최소값,X좌표최대값,Y좌표최대값,시설코드,년도,시설유형,쉼터명칭,상세주소,면적,이용가능인원,난방기보유(열풍기),난방기보유(히터),난방기보유(난로),난방기보유(라디에이터),점검사항(냉방기기구비),점검사항(휴식공간),점검사항(야간개방),점검사항(적정온도),점검사항(전기료지원),점검사항(간판부착),점검사항(홍보물비치),점검사항(숙박가능),점검사항(휴일개방),사용여부,한파쉼터운영시작일,한파쉼터운영종료일,한파쉼터평일시작시간,한파쉼터평일종료시간,한파쉼터주말시작시간,한파쉼터주말종료시간
5842,20518834,55797937,20518834,55797937,11350045,2023,1,월성경로당,서울특별시 노원구 광운로13길 9,128,44,0,0,0,0,Y,N,N,Y,Y,Y,N,N,N,Y,20221115,20230315,900,1800,,
5681,20361614,55977450,20361614,55977450,11320025,2023,1,창3동 경로당,서울특별시 도봉구  우이천로4나길  24   (창동),76.56,30,0,0,0,0,N,Y,Y,Y,Y,Y,Y,N,Y,Y,20221201,20230315,1300,1700,,
5682,20430234,56250876,20430234,56250876,11320027,2023,1,쌍용A 경로당,"서울특별시 도봉구  마들로  551   (창동, 쌍용아파트)",342,100,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5683,20369272,56043023,20369272,56043023,11320019,2023,1,신창A 경로당,"서울특별시 도봉구  덕릉로62길  13   (창동, 신창아파트)",83,40,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5684,20379612,55957661,20379612,55957661,11320021,2023,1,초안산신도브래뉴A 경로당,"서울특별시 도봉구  우이천로4라길  11-4  (창동, 초안산신도브래뉴)",36,30,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5685,20384944,55958981,20384944,55958981,11320020,2023,1,한승미메이드A 경로당,"서울특별시 도봉구  덕릉로60길  164-13  (창동, 창동 한승 미메이드 아파트)",22.68,30,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5686,20384911,56013226,20384911,56013226,11320023,2023,3,창3동 주민센터,서울특별시 도봉구  덕릉로62길  89   (창동),470.16,150,0,0,0,0,N,Y,N,Y,N,Y,Y,N,N,Y,20221201,20230315,900,1800,,
5687,20323391,56007808,20323391,56007808,11320015,2023,1,금용A 경로당,"서울특별시 도봉구  우이천로  196-11  (창동, 창동금용아파트)",37,30,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5688,20371725,55998349,20371725,55998349,11320024,2023,5,창동 노인복지센터,서울특별시 도봉구  덕릉로60차길  6   (창동),196,100,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20221201,20230315,900,1800,,
5689,20368764,56021002,20368764,56021002,11320026,2023,1,한신A 경로당,"서울특별시 도봉구  덕릉로60바길  21   (창동, 창동한신아파트)",65,16,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5690,20306994,56039251,20306994,56039251,11320016,2023,1,수산트리플A 경로당,"서울특별시 도봉구  우이천로20길  6   (창동, 수산트리플아파트)",22.84,30,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5691,20416963,56240892,20416963,56240892,11320028,2023,1,창동4차아이파트A 경로당,"서울특별시 도봉구  노해로69가길  54   (창동, 창동현대4차아파트)",57,30,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5692,20443438,56154202,20443438,56154202,11320030,2023,1,동아A 경로당,"서울특별시 도봉구  노해로70길  12 , 동아A 경로당 (창동, 동아아파트)",138,50,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5693,20415654,56275088,20415654,56275088,11320029,2023,1,현대2차 A 경로당,"서울특별시 도봉구  마들로  573   (창동, 창동2차 현대아파트)",82,40,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,Y,20221201,20230315,1300,1700,,
5694,20414753,56190967,20414753,56190967,11320041,2023,1,동아그린A 경로당,"서울특별시 도봉구  노해로63다길  34   (창동, 동아그린아파트)",57,30,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5695,20379992,56179384,20379992,56179384,11320040,2023,1,주공2단지A 경로당,"서울특별시 도봉구  해등로12길  44   (창동, 창동주공아파트)",66,40,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5696,20390034,56186719,20390034,56186719,11320038,2023,1,상아2차A 경로당,"서울특별시 도봉구  노해로63가길  7   (창동, 상아아파트)",62,40,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5697,20482580,56076106,20482580,56076106,11320033,2023,1,녹천 경로당,"서울특별시 도봉구  덕릉로66길  17   (창동, 주공아파트)",194,100,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5698,20351916,56185700,20351916,56185700,11320039,2023,1,주공1단지A 경로당,"서울특별시 도봉구  해등로  113   (창동, 창동주공아파트)",60,40,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5699,20410352,56187057,20410352,56187057,11320043,2023,1,창동대림A 경로당,"서울특별시 도봉구  노해로63길  75   (창동, 창동대림아파트)",125,50,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5700,20395188,56277381,20395188,56277381,11320042,2023,1,창동대동A 경로당,"서울특별시 도봉구  도봉로  642-30  (창동, 대동아파트)",40,30,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5701,20449173,56264764,20449173,56264764,11320035,2023,1,만수정 경로당,"서울특별시 도봉구  마들로16길  56   (창동, 창동성원아파트)",59.5,30,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5702,20160902,54698369,20160902,54698369,11320036,2023,3,창4동주민센터,서울특별시 도봉구 노해로 390,330,82,0,0,0,0,N,Y,N,Y,N,Y,Y,N,N,Y,20221201,20230315,900,1800,,
5703,20461164,56135641,20461164,56135641,11320031,2023,1,주공19단지A 경로당,"서울특별시 도봉구  노해로70길  54   (창동, 주공아파트)",473,100,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5704,20378684,56191161,20378684,56191161,11320037,2023,1,상아1차A 경로당,"서울특별시 도봉구  해등로  118   (창동, 상아아파트)",80,40,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5705,20441218,56232290,20441218,56232290,11320034,2023,1,동아청솔A 경로당,"서울특별시 도봉구  노해로69길  103   (창동, 동아청솔아파트)",162,100,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5706,20477407,56116913,20477407,56116913,11320032,2023,1,노송 경로당,"서울특별시 도봉구  노해로70길  119   (창동, 주공아파트)",187,50,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5707,20411170,56206622,20411170,56206622,11320045,2023,1,신도브래뉴A 경로당,"서울특별시 도봉구  도봉로136나길  40 , 신도브래뉴A 경로당 (창동, 창동 신도브래뉴 1차아파트)",53,40,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5708,20372750,56222838,20372750,56222838,11320046,2023,1,금호어울림A 경로당,"서울특별시 도봉구  도봉로136가길  68   (창동, 창동 금호 어울림 아파트)",92.7,40,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5709,20342784,56172606,20342784,56172606,11320044,2023,1,유만 경로당,서울특별시 도봉구  노해로61길  22   (창동),78,30,0,0,0,0,N,Y,Y,Y,Y,Y,Y,N,Y,Y,20221201,20230315,1300,1700,,
