UNDP_국가명,WB_국가명,ISO3_국가코드,DAC_국가코드,WB_지역,KOICA_국가명_국문,KOICA_지역명_국문,KOICA_지역명_영문,KOICA_지역명_부서,국가협력전략 대상국가,KOICA 사무소 주재 여부,겸임국 관할 사무소명,OECD_국가명,OECD소득 기준,인구수_기준연도,인구수,GDP_기준연도,1인당 국내총생산,국민총생산 기준연도,1인당 국민총생산,빈곤율 기준연도,빈곤율,지니계수 기준연도,지니계수,문해율 기준연도,문해율,중등학교 등록율(여학생) 기준연도,중등학교 등록율(여학생),중등학교 등록률(남학생) 기준연도,중등학교 등록율(남학생),중등학교 등록율 젠더 패리티 인덱스 기준연도,중등학교 등록율 젠더 패리티 인덱스,세금 기준연도,세금,ODA 순 수원액 기준연도,ODA 순 수원액,기업여건 기준연도,기업여건,해외직접투자 기준연도,해외직접투자,100명당 이동통신 사용률 기준연도,100명당 이동통신 사용률,1인당 전기 소비량 기준연도,1인당 전기 소비량,인터넷 사용률 기준연도,인터넷 사용률,취약국가 지수 기준연도,취약국가 지수,취약국가 순위,부패인식지수 기준연도,부패인식점수,부패인식순위,전자정부 지수 기준연도,전자정부 지수 순위,전자정부지수,인간개발지수 기준연도,인간개발지수순위,인간개발지수,젠더개발지수 기준연도,젠더개발지수,젠더 불평등 지수 기준연도,젠더 불평등 지수,여성국회의원 비율 기준연도,여성국회의원 비율,여성실업률 기준연도,여성실업률,ODA 규모 기준연도,수원국 ODA 규모,양자 지원 규모,GNI 대비 ODA 비율,한국 ODA 규모 기준연도,한국 ODA 규모,KOICA 지원 규모_공공행정,KOICA 지원 규모_교육,KOICA 지원 규모_기술환경에너지,KOICA 지원 규모_기타,KOICA 지원 규모_긴급구호,KOICA 지원 규모_농림수산,KOICA 지원 규모_보건,KOICA 지원 규모_전체
Sierra Leone,Sierra Leone,SLE,272,Sub-Saharan Africa,시에라리온,아프리카,Africa,서아프리카,no,no,나이지리아 사무소,Sierra Leone,LDC,2020,7976985 ,2020,484.5213,2020,490,2018,43,2018,35.7,2018,43.20633,2017,41.0624,2017,42.52909,2017,0.96551,,,2019,14.60912,2019,163,2019,342000000 ,2019,86.13361,,,2017,13.23693,2020,84.3558,42,2019,33,119,2020,174,0.2931,2019,182,0.452,2019,0.884,2019,0.644,2020,12.32877,2019,3.58,2019,760,43,16,2019,15,1583113,155631,37484,,,1583336,2027502,5387065
Somalia,Somalia,SOM,273,Sub-Saharan Africa,소말리아,아프리카,Africa,동아프리카,no,no,케냐 사무소 ,Somalia,LDC,2020,15900000 ,2020,309.4155,2020,310,2017,68.6,2017,36.8,1972,5.40465,2007,3.74024,2007,8.11734,2007,0.46077,2019,0.0001251,2019,38.02163,2019,190,2019,447000000 ,2018,50.9923,,,2017,2.004049,2020,110.889,2,2019,9,180,2020,191,0.1293,,,,,,,,2020,24.36364,2019,13.18,2019,1865,72,,2019,1,934229,2104021,12263,,687529,530466,,4268507
Djibouti,Djibouti,DJI,274,Middle East & North Africa,지부티,아프리카,Africa,동아프리카,no,no,에티오피아 사무소,Djibouti,LDC,2020,988002 ,2020,3425.503,2020,3320,2017,17,2017,41.6,,,2020,55.58465,2020,53.96272,2020,1.03006,,,2019,8.433851,2019,112,2019,175000000 ,2019,42.51058,,,2017,55.68141,2020,82.72548,47,2019,30,126,2020,179,0.2728,2019,166,0.524,,,,,2020,26.15385,2019,11.26,2019,314,52,8,2019,0,2036398,2474,1336814,,121154,8243,750610,4255693
mibia,mibia,M,275,Sub-Saharan Africa,나미비아,아프리카,Africa,서아프리카,no,no,DR콩고 사무소,mibia,UMIC,2020,2540916 ,2020,4211.051,2020,4520,2015,13.8,2015,59.1,2018,91.52727,2007,69.96509,2007,61.48577,2007,1.13791,2019,30.2964,2019,1.210718,2019,104,2019,-176000000 ,2019,113.1939,2014,1652.572,2017,36.83741,2020,65.09592,105,2019,52,56,2020,104,0.5747,2019,130,0.646,2019,1.007,2019,0.44,2020,43.26923,2019,18.53,2019,155,73,1,2019,0,905808,14282,194672,5515,29966,246528,165885,1562655
Sudan,Sudan,SDN,278,Sub-Saharan Africa,수단,아프리카,Africa,동아프리카,no,no,에티오피아 사무소,Sudan,LDC,2020,43800000 ,2020,595.4678,2020,650,2014,12.2,2014,34.2,2018,60.69718,2017,46.95738,2017,46.29423,2017,1.01432,2016,7.805886,2019,5.304239,2019,171,2019,825000000 ,2019,77.11204,2014,256.7562,2017,30.8703,2020,104.7659,8,2019,16,173,2020,170,0.3154,2019,170,0.51,2019,0.86,2019,0.545,2018,30.51643,2019,28.82,2019,1595,76,9,2019,6,7279109,7552741,5052967,958065,1162698,7775862,15700000,45500000
South Sudan,South Sudan,SSD,279,Sub-Saharan Africa,남수단,아프리카,Africa,동아프리카,no,no,우간다 사무소,South Sudan,LDC,2020,11200000 ,2015,1119.651,2015,1090,2016,76.4,2016,44.1,2018,34.52276,2015,7.66851,2015,14.28797,2015,0.53671,,,2015,15.9162,2019,185,2019,-232000000 ,2019,20.08628,2014,43.58173,2017,7.977429,2020,110.7522,3,2019,12,179,2020,193,0.0875,2019,185,0.433,2019,0.842,,,2020,28.45953,2019,13.16,2019,1893,70,,2019,4,2857843,5144220,560124,,,22976,19307,8604471
Eswatini (Kingdom of),Eswatini,SWZ,280,Sub-Saharan Africa,스와질랜드,아프리카,Africa,동아프리카,no,no,모잠비크 사무소,Eswatini (Kingdom of),LMIC,2020,1160164 ,2020,3415.459,2020,3580,2016,29.2,2016,54.6,2018,88.41938,2016,82.18876,2016,82.63283,2016,0.99463,,,2019,1.82646,2019,121,2019,128000000 ,2017,93.52732,,,2017,30.3,2020,83,45,2019,34,113,2020,128,0.4938,2019,138,0.611,2019,0.996,2019,0.567,2020,9.589041,2019,23.97,2019,107,59,2,2019,0,949064,408871,69963,166560,20008,681502,1165215,3461182
Tanzania (United Republic of),Tanzania,TZA,282,Sub-Saharan Africa,탄자니아,아프리카,Africa,동아프리카,yes,yes,탄자니아 사무소,Tanzania (United Republic of),LDC,2020,59700000 ,2020,1076.47,2020,1080,2017,49.4,2017,40.5,2015,77.88723,2019,33.25737,2019,30.83542,2019,1.07854,2018,11.69508,2019,3.477942,2019,141,2019,991000000 ,2019,82.20817,2014,103.6818,2017,16,2020,78.14414,61,2019,37,96,2020,152,0.4206,2019,163,0.529,2019,0.948,2019,0.556,2020,36.71875,2019,2.5,2019,1972,51,3,2019,59,22800000,38700000,10300000,2111661,752943,34600000,44800000,154000000
Togo,Togo,TGO,283,Sub-Saharan Africa,토고,아프리카,Africa,서아프리카,no,no,가나 사무소,Togo,LDC,2020,8278737 ,2020,914.9506,2020,920,2015,51.1,2015,43.1,2015,63.74562,2017,52.06329,2017,71.56491,2017,0.7275,2019,13.15519,2019,5.683382,2019,97,2019,346000000 ,2019,77.19501,2014,154.6652,2017,12.36022,2020,85.84143,38,2019,29,130,2020,147,0.4302,2019,167,0.515,2019,0.822,2019,0.573,2020,18.68132,2019,2.67,2019,345,22,8,2019,1,1833184,3136939,82906,,49021,353514,393622,5849185
Uganda,Uganda,UGA,285,Sub-Saharan Africa,우간다,아프리카,Africa,동아프리카,yes,yes,우간다 사무소,Uganda,LDC,2020,45700000 ,2020,817.0358,2020,800,2016,41.3,2016,42.8,2018,76.5275,2007,21.84195,2007,27.5104,2007,0.79395,2019,12.30006,2019,6.130706,2019,116,2019,1270000000 ,2019,57.36557,,,2017,23.70653,2020,92.77037,24,2019,28,137,2020,137,0.4499,2019,159,0.544,2019,0.863,2019,0.535,2020,34.85839,2019,2.21,2019,2445,54,6,2019,26,11400000,18200000,12600000,3890249,3524593,31900000,21500000,103000000
Burki Faso,Burki Faso,BFA,287,Sub-Saharan Africa,부르키나파소,아프리카,Africa,서아프리카,no,no,코트디부아르 사무소,Burki Faso,LDC,2020,20900000 ,2020,830.9251,2020,790,2014,43.8,2014,35.3,2018,41.22445,2019,41.99523,2019,40.65269,2019,1.03302,2019,15.6817,2019,7.495593,2019,151,2019,163000000 ,2019,100.2122,,,2017,15.87621,2020,85.92852,37,2019,40,85,2020,164,0.3558,2019,182,0.452,2019,0.867,2019,0.594,2020,6.299213,2019,4.54,2019,1220,45,7,2019,1,2036914,338273,139747,244773,119935,385173,1798639,5063454
Zambia,Zambia,ZMB,288,Sub-Saharan Africa,잠비아,아프리카,Africa,동아프리카,no,no,탄자니아 사무소,Zambia,LDC,2020,18400000 ,2020,1050.919,2020,1190,2015,58.7,2015,57.1,2018,86.74796,1988,14.65577,1988,24.51735,1988,0.59777,2019,16.67761,2019,4.261723,2019,85,2019,548000000 ,2019,96.41441,2014,717.3473,2018,14.3,2020,84.47413,41,2019,34,113,2020,148,0.4242,2019,146,0.584,2019,0.958,2019,0.539,2020,16.76647,2019,13.09,2019,987,56,4,2019,2,2076035,690036,280289,27057,212376,3349892,1601480,8237165
Costa Rica,Costa Rica,CRI,336,Latin America & Caribbean,코스타리카,중남미,Latin America,중남미,no,no,엘살바도르 사무소,Costa Rica,UMIC,2020,5094114 ,2020,12076.81,2020,11460,2019,1,2019,48.2,2018,97.86379,2019,146.6447,2019,136.318,2019,1.07575,2019,13.47178,2019,0.0992496,2019,74,2019,2510000000 ,2019,169.3936,2014,1942.491,2019,81.2026,2020,40.18402,147,2019,56,44,2020,56,0.7576,2019,62,0.81,2019,0.981,2019,0.288,2020,45.61404,2019,14.96,2019,678,80,0,2019,2,3544609,2611188,2505664,1542887,250456,248216,1567988,12300000
Cuba,Cuba,CUB,338,Latin America & Caribbean,쿠바,중남미,Latin America,중남미,no,no,도미니카 공화국 사무소,Cuba,UMIC,2020,11300000 ,2019,9099.673,2016,7480,,,,,2012,99.75253,2019,100.8895,2019,99.82002,2019,1.01071,,,2016,2.995038,,,,,2019,53.31661,2014,1450.883,2019,61.8363,2020,59.22776,118,2019,48,60,2020,140,0.4439,2019,70,0.783,2019,0.944,2019,0.304,2020,53.22314,2019,1.8,2019,496,92,,2019,1,113611,1331355,1576746,,142511,4980009,,8144233
