분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,경도(X좌표),위도(Y좌표),유무료,문화포털상세URL
교육/체험,성동구,돌고 돌아 하수도,2022-09-24~2022-12-24,서울하수도과학관 2층 교육실,서울하수도과학관,초등학생,,,,,https://sssmuseum.org/main/?mc_code=1210,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c764460d19bd43cab4ba617c39014c52&thumb=Y,2022.9.14,기관,2022.9.24 0:00,2022.12.24 0:00,기타,37.5570865,127.0580683,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=139305&menuNo=200011
교육/체험,동대문구,감정서가 출판워크숍 [감정출판-About Us] 시즌3,2022-09-24~2022-11-26,감정서가,서울문화재단,홈페이지 참고,,,,,https://www.sfac.or.kr/artspace/artspace/artsedu_notice.do?cbIdx=1019&bcIdx=133326&type=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c60ad3fbd6694bc59d4058df0b0ea720&thumb=Y,2022.9.7,기관,2022.9.24 0:00,2022.11.26 0:00,,37.52690561,126.9665662,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=139242&menuNo=200011
기타,노원구,과학관에 찾아온 Real 대학연구실,2022-09-24~2022-11-19,서울시립과학관 3층 1교육실,서울시립과학관,중~고등학생,"강좌당 10,000원(개별강좌 선택 신청)",,,,https://science.seoul.go.kr/program/science/read?menuId=14&progMstId=532,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8d9c6c2e9ef64564b252636b9bd990c9&thumb=Y,2022.8.22,기관,2022.9.24 0:00,2022.11.19 0:00,기타,37.64199411,127.0774371,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=139071&menuNo=200013
교육/체험,종로구,"2022년 꿈다락 토요문화학교 [오브제, 어디에 쓰는 물건인고!] 2기",2022-09-24~2022-10-29,종로 아이들극장,종로문화재단,초등학교 4~6학년,,,,,https://www.jfac.or.kr/site/child/home,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fd0ade0e38c34417ae7ecb9beeaa2cea&thumb=Y,2022.8.8,기관,2022.9.24 0:00,2022.10.29 0:00,,37.5904592,126.9987998,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=138903&menuNo=200011
교육/체험,종로구,"2022 꿈다락 토요문화학교 예술감상교육 2기 [오브제, 어디에 쓰는 물건인고!]",2022-09-24~2022-10-29,아이들극장,종로문화재단,종로구 및 서울 거주 초등학교 4~6학년,,,,,https://www.jfac.or.kr/site/child/childProgram/view?pgIdx=244&pgCatCode=40,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=48e84c604f5d4f32803e498635550593&thumb=Y,2022.8.17,기관,2022.9.24 0:00,2022.10.29 0:00,,37.5904592,126.9987998,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=139019&menuNo=200011
기타,은평구,[구립증산정보도서관] 사진을 좋아하는 사람들과 함께하는 시간 [찰칵하는 찰나],2022-09-24~2022-10-08,4층 문화강좌실 및 야외,기타,성인 이용자 누구나 12명,,,,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=1527&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7a0ec61226174e6bab651b3221d96bc8&thumb=Y,2022.9.8,기관,2022.9.24 0:00,2022.10.8 0:00,,37.582727,126.9075589,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=139262&menuNo=200013
축제-문화/예술,도봉구,도봉산페스티벌,2022-09-24~2022-09-25,다락원체육공원 및 평화문화진지 일대,도봉문화재단,누구나,,,,,https://www.dobongsanf.com/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e1ef47ce4f534c2e86829fb83c231661&thumb=Y,2022.8.9,기관,2022.9.24 0:00,2022.9.25 0:00,,37.69080863,127.0472154,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=138917&menuNo=200010
국악,종로구,월드뮤직그룹 공명 [마당에서 놀자],2022-09-24~2022-09-25,서울돈화문국악당 국악마당,서울돈화문국악당,전체관람가,무료,월드뮤직그룹 공명,공명의 대표곡만 모아 마당에서 펼쳐지는 공연,,https://sdtt.or.kr/user/program/2022/9/1191,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=90dd33fbca0a417f8fd934a0fcd9588c&thumb=Y,2022.8.18,기관,2022.9.24 0:00,2022.9.25 0:00,기타,37.57725028,126.9907307,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=139041&menuNo=200008
연극,노원구,에스메의 여름,2022-09-24~2022-09-25,노원어린이극장,노원문화재단,5세 이상,"전석 20,000원",,,,www.nowonarts.kr,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e30fe44b594c46a1a478be1778dda8a0&thumb=Y,2022.8.10,기관,2022.9.24 0:00,2022.9.25 0:00,,37.65445005,127.0636923,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=138953&menuNo=200008
축제-문화/예술,중랑구,2022 이중섭 어린이 미술대회,2022-09-24~2022-09-24,중랑캠핑숲 잔디광장(서울시 중랑구 송림길 172),중랑문화재단,서울시 거주 어린이 500여 명,무료,,망우리 공원에 영면한 화가 이중섭을 기념하고 어린이들에게 꿈과 희망을 심어주는 이중섭 어린이 미술대회,,www.jnac.or.kr,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5e32b055f4714d19ad4f47ac3af653b8&thumb=Y,2022.8.4,기관,2022.9.24 0:00,2022.9.24 0:00,어린이/청소년 문화행사,,,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=138852&menuNo=200010
