"대학명","학제별","설립별","지역별","교외장학금 소계(원)","교외장학금 국가","교외장학금 지방자치단체","교외장학금 사설및기타","교내장학금 소계(원)","교내장학금 성적우수장학금","교내장학금 저소득층장학금","교내장학금 근로장학금","교내장학금 재난장학금","교내장학금 교직원장학금","교내장학금 기타","총계(원)"
"동양대학교","대학","사립","경북","8504673652","8368737752","37378590","98557310","3319427189","935662417","685280667","98703000","735157272","49334000","815289833","11824100841"
"동양미래대학교","전문대학","사립","서울","15280150570","14781880570","297390600","200879400","6660000000","1412133910","1846820140","1235610180","839790000","80175800","1245469970","21940150570"
"동원과학기술대학교","전문대학","사립","경남","6143142580","5940242580","137000000","65900000","2372976995","190338530","361306667","71214930","","29340000","1720776868","8516119575"
"동원대학교","전문대학","사립","경기","10096283840","10041897930","6175560","48210350","2801431960","560607480","171837090","288287200","393411080","39416700","1347872410","12897715800"
"동의과학대학교","전문대학","사립","부산","14620646591","14477537821","34677120","108431650","3869859950","676327900","274835750","90257400","375319000","35692450","2417427450","18490506541"
"동의대학교","대학","사립","부산","34847774009","33694255480","91606058","1061912471","18965944518","6413663500","3748179280","1103399180","3218201000","205627000","4276874558","53813718527"
"동주대학교","전문대학","사립","부산","8509927205","8471581145","1438560","36907500","2285829850","747623100","101275050","53872200","","44095000","1338964500","10795757055"
"두원공과대학교","전문대학","사립","경기","8973925165","8868734047","9500000","95691118","3261677345","773403600","","133402680","357493000","68709000","1928669065","12235602510"
"디지털서울문화예술대학교","대학","사립","서울","4007083480","3982077400","11506080","13500000","1726691900","126668000","124510000","1050000","165315000","6641000","1302507900","5733775380"
"루터대학교","대학","사립","경기","1042747650","1022607650","2070000","18070000","352984500","39407500","141457500","36945000","15400000","","119774500","1395732150"
"마산대학교","전문대학","사립","경남","13041961120","12861239200","10069920","170652000","5031088930","1046550000","749990020","254868850","531300000","31360000","2417020060","18073050050"
"명지대학교","대학","사립","경기","27121148570","26568448750","151930320","400769500","17513905141","2100489500","3250340600","702354880","3833783000","138366000","7488571161","44635053711"
"명지전문대학","전문대학","사립","서울","17916005560","17638764065","75583880","201657615","6722683393","530388520","2163621850","879957235","1241197690","99655170","1807862928","24638688953"
"목원대학교","대학","사립","대전","18666290810","18416665990","46537020","203087800","10825246920","1469087900","4255822680","470489700","1407707330","155368000","3066771310","29491537730"
"목포가톨릭대학교","대학","사립","전남","1695291950","1490839950","59400000","145052000","593414010","385197750","49381000","7133400","69615160","","82086700","2288705960"
"목포과학대학교","전문대학","사립","전남","7757627040","7302630040","","454997000","1219306600","86442360","271530000","179983800","","59961400","621389040","8976933640"
"목포대학교","대학","국공립","전남","17496572120","16143952260","893630060","458989800","4458299660","1492939490","740002660","581618400","422160000","","1221579110","21954871780"
"목포해양대학교","대학","국공립","전남","4352945010","3941743850","65163160","346038000","1269948120","827779500","16240000","68750110","","","357178510","5622893130"
"문경대학교","전문대학","사립","경북","2808265350","2502796650","","305468700","677644040","133938000","303755610","2300000","81023640","12064000","144562790","3485909390"
"배재대학교","대학","사립","대전","18454642940","18319814100","23430605","111398235","10623012276","1579262170","4034133606","414678700","1539537810","92324000","2963075990","29077655216"
"배화여자대학교","전문대학","사립","서울","7468870430","7363641140","9786000","95443290","2233054660","774154680","611993660","","261357200","2766000","582783120","9701925090"
