연도,변동사유발생연월일,판매업종류,구분,업체명,소재지
2015,2015-02-11,주유소,휴업,곡강주유소,경상북도 포항시 북구 동해대로1758 (흥해읍)
2015,2015-02-11,주유소,휴업,기장연곡주유소,부산광역시 기장군 기장대로 228-38
2015,2015-02-11,주유소,폐업,햇살주유소,전라남도 나주시 산남로9 (산포면)
2015,2015-02-11,주유소,폐업,(유)나들목주유소,전라북도 전주시 덕진구 원반월길7 (반월동)
2015,2015-02-11,주유소,휴업,대영석유,충남 논산시 취암동 1035-11
2015,2015-02-12,주유소,휴업,고단주유소,강원도 강릉시 백두대간로124 (왕산면)
2015,2015-02-12,주유소,휴업,남산주유소,강원도 홍천군 홍천읍 장전평로 235
2015,2015-02-12,주유소,폐업,태양해상급유㈜,부산광역시 동구 중앙대로286번길3-1 (초량동)
2015,2015-02-12,주유소,휴업,거성석유㈜,서울 송파구 백제고분로 475
2015,2015-02-13,주유소,휴업,문덕화물제2주유소,경상북도 포항시 남구 냉천로542 (오천읍)
2015,2015-02-13,주유소,휴업,수색제일주유소,서울시 은평구 수색로 236
2015,2015-02-16,주유소,폐업,치악파크주유소,강원도 원주시 치악로447 (신림면)
2015,2015-02-16,주유소,휴업,할렐루야주유소,강원도 춘천시 영서로1244 (동산면)
2015,2015-02-16,주유소,폐업,강변북로주유소,경기도 남양주시 강변북로776 (가운동)
2015,2015-02-16,주유소,휴업,연평주유소,경기도 남양주시 진접읍 사릉로826
2015,2015-02-16,주유소,등록취소,중앙제3주유소,경기도 동두천시 강변로814
2015,2015-02-16,주유소,휴업,성원주유소,경기도 포천시 청군로3133 (군내면)
2015,2015-02-16,주유소,휴업,서양새마을금고주유소,광주광역시 남구 독립로140 (월산동)
2015,2015-02-16,주유소,폐업,대성산업㈜ 노원대성주유소,대구광역시 북구 노원로96 (노원동3가)
2015,2015-02-16,주유소,폐업,대진주유소,울산광역시 울주군 헌양길157 (언양읍)
2015,2015-02-17,주유소,폐업,부곡주유소,경북 김천시 김천로9
2015,2015-02-17,주유소,신규등록,태현마린㈜,울산광역시 울주군 온산읍 덕망로 7-9 303호
2015,2015-02-23,주유소,폐업,해동주유소,강원도 강릉시 연주로458 (주문진읍)
2015,2015-02-23,주유소,폐업,행주주유소,경기도 고양시 덕양구 토당로22 (토당동)
2015,2015-02-23,주유소,폐업,한진주유소,부산광역시 부산진구 가야대로417 (개금동)
2015,2015-02-23,주유소,폐업,고척주유소,서울특별시 구로구 고척로239 (고척동)
2015,2015-02-23,주유소,휴업,장백주유소,전라북도 무주군 무설로491 (무주읍)
2015,2015-02-24,주유소,휴업,하일라주유소,강원도 고성군 토성면 동해대로 4868
2015,2015-02-24,주유소,폐업,하나주유소,경상북도 예천군 충효로187 (예천읍)
2015,2015-02-24,주유소,폐업,부영주유소,서울특별시 용산구 이촌로16 (이촌동)
2015,2015-02-24,주유소,휴업,GS칼텍스㈜ 인천공항점,인천광역시 중구 공항동로295번길124 (운서동)
2015,2015-02-24,주유소,폐업,세일주유소,전라남도 신안군 서남문로190 (비금면)
2015,2015-02-24,주유소,휴업,춘장대IC주유소,충청남도 서천군 충서로1310 (비인면)
2015,2015-02-25,주유소,휴업,대청봉주유소,강원도 속초시 설악산로441 (도문동
2015,2015-02-25,주유소,휴업,㈜최강에너지본점,경기도 가평군 청군로450 (상면)
2015,2015-02-25,주유소,폐업,사천주유소,경상남도 사천시 진삼로1055 (사남면)
2015,2015-02-25,주유소,휴업,평촌주유소,대전광역시 서구 벌곡로394 (평촌동)
2015,2015-02-25,주유소,휴업,줄포관광주유소,전라북도 부안군 부안로991 (줄포면)
2015,2015-02-26,주유소,등록취소,장안주유소,경기도 화성시 3.1만세로274 (장안면
2015,2015-02-26,주유소,폐업,미송주유소,전라남도 광양시 순광로440 (광양읍
2015,2015-02-27,주유소,휴업,진고개주유소,강원도 강릉시 진고개로1067 (연곡면)
2015,2015-02-27,주유소,휴업,믿음가득주유소,경기도 용인시 처인구 죽양대로820 (백암면)
2015,2015-02-27,주유소,휴업,남양주유소,경상남도 사천시 진삼로252 (신벽동)
2015,2015-02-27,주유소,휴업,OK주유소,경상북도 영덕군 동해대로4499 (강구면)
2015,2015-02-27,주유소,폐업,연안주유소,전라남도 목포시 양을로522 (상동)
2015,2015-03-02,주유소,등록취소,금강주유소,강원도 영월군 영월로1850 (영월읍)
2015,2015-03-02,주유소,휴업,검창주유소,경기도 양주시 권율로1297 (백석읍
2015,2015-03-02,주유소,휴업,성림주유소,대전광역시 유성구 유성대로753번길 6
2015,2015-03-02,주유소,휴업,물곡주유소,전라북도 진안군 진장로400 (진안읍)
2015,2015-03-03,주유소,폐업,신도시주유소,경기도 고양시 일산동구 백마로495 (풍동)
2015,2015-03-03,주유소,폐업,목재단지주유소,인천광역시 서구 염곡로148
2015,2015-03-03,주유소,폐업,청라신도시주유소,인천광역시 서구 중봉대로350 (원창동)
2015,2015-03-03,주유소,휴업,태양주유소,인천광역시 서구 중봉대로378 (원창동)
2015,2015-03-03,주유소,휴업,장덕주유소,전라북도 장수군 한들로124 (장계면)
2015,2015-03-03,주유소,신규등록,우리셀프주유소,충남 홍성군 은하면 충서로87-1
2015,2015-03-04,주유소,휴업,친절한주유소,경기도 남양주시 양진로 329 (진건읍)
2015,2015-03-04,주유소,휴업,하늘주유소,경남 창원시 마산회원구 북성로 373
2015,2015-03-04,주유소,폐업,태양주유소,부산광역시 부산진구 성지로60 (연지동)
2015,2015-03-04,주유소,폐업,현대오일뱅크㈜직영 연희현대,서울특별시 서대문구 연희로141 (연희동)
2015,2015-03-04,주유소,폐업,세화주유소,인천광역시 서구 드림로396 (당하동)
2015,2015-03-04,주유소,휴업,유주주유소,인천광역시 서구 봉수대로1581번길24 (금곡동)
2015,2015-03-05,주유소,신규등록,금강주유소,강원 영월군 영월읍 1850
2015,2015-03-05,주유소,휴업,광명주유소,경기도 양주시 부흥로889 (광적면)
2015,2015-03-05,주유소,휴업,슈퍼맨주유소㈜,경기도 양주시 평화로1803 (회정동)
2015,2015-03-05,주유소,휴업,㈜삼보 명진셀프주유소,부산광역시 동래구 충렬대로51 (온천동)
2015,2015-03-05,주유소,등록취소,행복드림주유소,전북 전주시 덕진구 고랑동 614-3 외4필지
2015,2015-03-06,주유소,등록취소,명품아울렛주유소,경기도 이천시 중부대로908-3 (호법면)
2015,2015-03-06,주유소,폐업,송륜주유소,전라남도 여수시 동문로109 (공화동)
2015,2015-03-09,주유소,휴업,생곡휴게주유소,강원도 홍천군 서석면 구룡령로 3471
2015,2015-03-09,주유소,휴업,송정주유소,경상북도 구미시 송정대로96 (송정동)
2015,2015-03-09,주유소,휴업,SK영신주유소,대구광역시 동구 신암남로146 (신암동)
2015,2015-03-09,주유소,폐업,행원주유소,제주특별자치도 제주시 행원로74 (구좌읍)
2015,2015-03-10,주유소,신규등록,주안주유소,경남 창녕군 대합면 우포2로 657
2015,2015-03-10,주유소,휴업,신북주유소,전라남도 영암군 예향로2605 (신북면)
2015,2015-03-11,주유소,폐업,부천테크노주유소,경기도 부천시 오정구 오정로101 (삼정동)
2015,2015-03-11,주유소,폐업,대현주유소,울산광역시 남구 번영로11 (야음동)
2015,2015-03-11,주유소,휴업,옥련주유소,인천광역시 연수구 독배로132 (옥련동)
2015,2015-03-11,주유소,폐업,한송주유소,제주특별자치도 서귀포시 상모로309-1 (대정읍)
2015,2015-03-11,주유소,휴업,금강주유소,충청북도 제천시 송학주천로173 (송학면)
2015,2015-03-11,주유소,휴업,쌍둥이주유소,충청북도 제천시 청풍호로130 (강제동)
2015,2015-03-12,주유소,신규등록,대흥제2self주유소,경기도 파주시 월롱면 엘지로 105
2015,2015-03-12,주유소,휴업,영천주유소,경상북도 영천시 장수로438 (청통면)
2015,2015-03-12,주유소,폐업,문수주유소,울산광역시 울주군 웅촌로739 (웅촌면)
2015,2015-03-13,주유소,폐업,호남고속주유소,광주광역시 북구 북문대로18 (운암동)
2015,2015-03-13,주유소,휴업,드림주유소,전라북도 완주군 춘향로4126 (상관면)
2015,2015-03-16,주유소,신규등록,현풍신IC주유소,대구 달성군 과학북로 474
2015,2015-03-16,주유소,등록취소,월드주유소,부산광역시 기장군 기장읍 반송로 1559
2015,2015-03-16,주유소,휴업,대둔산주유소,충청남도 금산군 태고사로450 (진산면)
2015,2015-03-17,주유소,휴업,스마일주유소,경상북도 울진군 덕구온천로488 (북면)
2015,2015-03-17,주유소,폐업,백양주유소,서울특별시 송파구 위례성대로260(오금동)
2015,2015-03-17,주유소,폐업,오일육주유소,제주특별자치도 제주시 중앙로570 (아라일동)
2015,2015-03-18,주유소,폐업,케이케이㈜ 고려주유소,경상북도 칠곡군 경북대로862 (동명면)
2015,2015-03-18,주유소,휴업,삼영주유소,경상북도 포항시 북구 한동로431 (흥해읍)
2015,2015-03-18,주유소,휴업,성화주유소,전라북도 전주시 덕진구 원장동길135 (장동)
2015,2015-03-18,주유소,등록취소,지축주유소,충청남도 공주시 차령로867 (계룡면)
2015,2015-03-19,주유소,폐업,평내주유소,경기도 남양주시 경춘로1269 (평내동)
2015,2015-03-19,주유소,폐업,동신주유소,광주광역시 북구 동문대로82 (두암동)
2015,2015-03-20,주유소,폐업,송이주유소,전라북도 전주시 덕진구 동부대로1018 (송천동2가)
2015,2015-03-22,주유소,폐업,SK동아에너지,전라북도 정읍시 연지8길 11번지 (연지동)
2015,2015-03-23,주유소,폐업,주식회사 민성,강원도 강릉시 오이동길7 (강동면)
2015,2015-03-23,주유소,휴업,치산주유소,경상북도 영천시 치산효령로425 (신녕면)
2015,2015-03-23,주유소,폐업,대일상운㈜,부산광역시 동구 중앙대로180번길12-11 (초량동)성신빌딩305비호
2015,2015-03-23,주유소,폐업,청룡주유소,서울특별시 영등포구 국회대로786 (여의도동)
2015,2015-03-23,주유소,휴업,대광주유소,전남 함평군 신광면 신광중앙길 90
2015,2015-03-23,주유소,폐업,활주로주유소,전라남도 나주시 산남로141 (산포면)
2015,2015-03-23,주유소,폐업,송이주유소,전라북도 전주시 덕진구 동부대로1018 (송천동2가)
2015,2015-03-24,주유소,휴업,대신주유소,충청북도 청주시 청원구 향군로108번길1 (우암동)
2015,2015-03-25,주유소,휴업,사계절주유소,강원도 평창군 방림면 평창대로 272
2015,2015-03-25,주유소,폐업,동일주유소,강원도 횡성군 안흥로28 (안흥면)
2015,2015-03-25,주유소,휴업,명성에너지,경기도 이천시 이여로388 (백사면)
2015,2015-03-25,주유소,폐업,㈜미림주유소,서울특별시 영등포구 여의대방로147 (신길동)
2015,2015-03-25,주유소,휴업,주식회사 도준코퍼레이션,인천광역시 부평구 장제로366 (갈산동)
2015,2015-03-26,주유소,폐업,신우오일상회,경북 영천시 화북면 화북길 60
2015,2015-03-26,주유소,폐업,율곡유업사,경상북도 상주시 함령길6 (함창읍)
2015,2015-03-26,주유소,휴업,옥계주유소,충청남도 홍성군 무한로803 (장곡면)
2015,2015-03-27,주유소,신규등록,동화주유소,경북 김제시 백구면 유강로 509-5
2015,2015-03-30,주유소,폐업,청호주유소,경상남도 창원시 의창구 사화로382 (팔용동)
2015,2015-03-30,주유소,휴업,주교고송영농회주유소,충청남도 보령시 토정로886 (주교면)
2015,2015-03-31,주유소,휴업,㈜용봉주유소,강원도 강릉시 경강로1377-3 (성산면)
2015,2015-03-31,주유소,휴업,명주주유소,강원도 강릉시 경강로1935 (홍제동)
2015,2015-03-31,주유소,휴업,터널주유소,경기도 남양주시 경춘로1757 (화도읍)
2015,2015-03-31,주유소,폐업,신정자주유소,경기도 수원시 장안구 수성로267 (정자동)
2015,2015-03-31,주유소,휴업,고릴라주유소,경기도 양주시 중앙로246 (백석읍)
2015,2015-03-31,주유소,휴업,금호주유소,경기도 의왕시 안양판교로128 (포일동)
2015,2015-03-31,주유소,폐업,동방주유소,경상남도 창녕군 유어장마로13 (장마면)
2015,2015-03-31,주유소,휴업,㈜원흥 광주지점,광주광역시 남구 독립로143 (월산동)
2015,2015-03-31,주유소,휴업,미양주유소,서울특별시 강북구 삼양로160 (미아동)
2015,2015-03-31,주유소,휴업,월천주유소,전라북도 진안군 진장로627 (진안읍)
2015,2015-03-31,주유소,신규등록,소향self주유소,충남 홍성군 홍성읍 홍덕서로 15
2015,2015-04-01,주유소,휴업,제2부자주유소,경상남도 양산시 중앙로19 (다방동)
2015,2015-04-01,주유소,폐업,성계주유소,경상북도 구미시 형곡로162 (형곡동)
2015,2015-04-01,주유소,등록취소,대전주유소,대전광역시 동구 계족로126 (대동)
2015,2015-04-01,주유소,등록취소,뉴월드주유소,대전광역시 동구 계족로502-4 (용전동)
2015,2015-04-01,주유소,등록취소,대원주유소,충북 보은군 산외면 속리산로 2035
2015,2015-04-02,주유소,휴업,경기주유소,경기도 가평군 경춘로1013 (청평면)
2015,2015-04-02,주유소,휴업,오일파크 하성주유소,경기도 김포시 금포로1925 (하성면)
2015,2015-04-02,주유소,폐업,금아주유소,경기도 수원시 영통구 덕영대로1469 (망포동)
2015,2015-04-02,주유소,폐업,충무주유소,경상남도 통영시 동호로18 (정량동)
2015,2015-04-02,주유소,등록취소,고속주유소,대전광역시 대덕구 동서대로1787 (송촌동)
2015,2015-04-02,주유소,폐업,동명석유,부산광역시 동래구 명서로107-1 (명장동
2015,2015-04-02,주유소,휴업,구봉주유소,전라남도 여수시 어항로42 (국동)
2015,2015-04-03,주유소,휴업,평택휴게소주유소,경기도 평택시 서동대로2043 (오성면)
2015,2015-04-03,주유소,폐업,구봉석유,대전광역시 유성구 진잠로140번길52 (원내동)
2015,2015-04-03,주유소,휴업,대양석유㈜ 보라매주유소,서울특별시 관악구 보라매로26 (봉천동)
2015,2015-04-03,주유소,폐업,충만주유소,충청남도 금산군 서대산로685 (추부면)
2015,2015-04-06,주유소,휴업,금호주유소,경기도 의왕시 안양판교로128 (포일동)
2015,2015-04-06,주유소,휴업,만당주유소,경기도 이천시 서동대로8408 (장호원읍)
2015,2015-04-06,주유소,신규등록,영진주유소,경남 김해시 금관대로 1279
2015,2015-04-06,주유소,폐업,평촌주유소,대전광역시 서구 벌곡로394 (평촌동)
2015,2015-04-06,주유소,폐업,풍차주유소,전라북도 익산시 무왕로2152 (왕궁면)
2015,2015-04-06,주유소,휴업,대지주유소,충남 천안시 동남구 충절로 672
2015,2015-04-06,주유소,폐업,대신주유소,충청북도 청주시 청원구 향군로108번길1 (우암동)
2015,2015-04-07,주유소,휴업,상동주유소,대구광역시 수성구 수성로93 (상동)
2015,2015-04-07,주유소,휴업,소문만복래주유소,대전 중구 대종로 416
2015,2015-04-09,주유소,휴업,상주아이씨주유소,경상북도 상주시 영남제일로1266 (외답동)
2015,2015-04-09,주유소,휴업,서부농협주유소,경상북도 성주군 가천로29 (가천면)
2015,2015-04-09,주유소,폐업,꿈동산주유소,서울특별시 강북구 월계로191 (번동)
2015,2015-04-10,주유소,폐업,미래주유소,경상남도 김해시 장유로402 (신문동)
2015,2015-04-10,주유소,폐업,부일주유소,부산광역시 기장군 정관로1126 (장안읍)
2015,2015-04-10,주유소,휴업,㈜소모석유 금천제일주유소,전라남도 나주시 영산로5703 (금천면)
2015,2015-04-10,주유소,폐업,산정주유소,전라남도 목포시 양을로65 (산정동)
2015,2015-04-13,주유소,휴업,오산주유소,전라북도 고창군 녹두로1033 (고창읍
2015,2015-04-13,주유소,휴업,(유)서해안주유소,전라북도 고창군 동서대로1882 (고창읍)
2015,2015-04-13,주유소,휴업,한겨레주유소,충청북도 충주시 중원대로2410 (살미면)
2015,2015-04-14,주유소,휴업,남선석유㈜ 톨게이트주유소,경기도 성남시 분당구 대왕판교로263 (궁내동
2015,2015-04-14,주유소,휴업,일등주유소,충청남도 금산군 금산로679 (남일면
2015,2015-04-15,주유소,휴업,맑은주유소,강원도 강릉시 입암로12 (입암동)
2015,2015-04-15,주유소,등록취소,광주제1주유소,경기도 광주시 경충대로2110 (중대동)
2015,2015-04-15,주유소,휴업,신반월주유소,경기도 안산시 상록구 건건1길7 (건건동)
2015,2015-04-15,주유소,등록취소,대한주유소,경기도 의정부시 시민로284 (신곡동)
2015,2015-04-15,주유소,등록취소,한솔주유소,경기도 의정부시 호국로1042 (가능동)
2015,2015-04-15,주유소,휴업,평택휴게소주유소,경기도 평택시 서동대로2043 (오성면)
2015,2015-04-15,주유소,신규등록,산업로주유소,경북 경주시 외동읍 산업로 2015
2015,2015-04-15,주유소,휴업,선사주유소,서울특별시 강동구 고덕로82 (암사동)
2015,2015-04-15,주유소,휴업,목화주유소,서울특별시 강서구 국회대로251 (화곡동)
2015,2015-04-15,주유소,폐업,덕행주유소,인천광역시 중구 연안부두로21 (항동7가)
2015,2015-04-15,주유소,휴업,SK고속주유소,전남 영암군 신북면 장산리 697-1
2015,2015-04-15,주유소,폐업,터미널주유소,전라남도 여수시 좌수영로276 (오림동)
2015,2015-04-16,주유소,휴업,도원주유소,경기도 김포시 대명항로346 (대곶면)
