시설번호,지역코드,시설일련번호,시도명,시군구명,수용시설명,도로명주소코드,법정동코드,행정동코드,상세주소,시설면적,경도,위도,X좌표,Y좌표
3309,1174000000,305,서울특별시,강동구,대명초등학교,1.17401E+24,1174010100,1174054000,서울특별시 강동구 상암로 271(명일동),750,127.15329,37.547137,213546.2047,549746.7911
3310,1174000000,436,서울특별시,강동구,명원초등학교,1.17401E+24,1174010100,1174054000,서울특별시 강동구 명일로 364(명일동),650,127.150382,37.551343,213288.5251,550213.1709
3311,1174000000,360,서울특별시,강동구,명덕초등학교,1.17401E+24,1174010200,1174055000,서울특별시 강동구 양재대로156길 11(고덕동),498,127.146058,37.556958,212905.4411,550835.8035
3312,1174000000,435,서울특별시,강동구,묘곡초등학교,1.17401E+24,1174010200,1174055000,서울특별시 강동구 동남로79길 46(고덕동),833,127.15317,37.558963,213533.4599,551059.3284
3363,1174000000,441,서울특별시,강동구,암사2동주민센터,1.17401E+24,1174010700,1174058000,서울특별시 강동구 상암로3길 28(암사동),560,127.127317,37.551686,211250.2799,550248.2083
3364,1174000000,10,서울특별시,강동구,강일중학교,1.17401E+24,1174010700,1174059000,서울특별시 강동구 고덕로27길 12(암사동),648,127.135811,37.556165,212000.1458,550746.3668
3365,1174000000,333,서울특별시,강동구,암사3동 주민센터,1.17401E+24,1174010700,1174059000,서울특별시 강동구 고덕로 137(암사동),161,127.14082,37.554972,212442.91,550614.628
3366,1174000000,367,서울특별시,강동구,신암중학교,1.17401E+24,1174010700,1174059000,서울특별시 강동구 고덕로 65(암사동),1006,127.133081,37.555645,211758.9767,550688.359
3367,1174000000,312,서울특별시,강동구,천호중학교,1.17401E+24,1174010900,1174060000,서울특별시 강동구 상암로 153(천호동),895,127.139577,37.546398,212334.4913,549662.9301
3368,1174000000,329,서울특별시,강동구,천호초등학교 체육관,1.17401E+24,1174010900,1174060000,서울특별시 강동구 구천면로 310-11 (천호동),1000,127.136443,37.547308,212057.3776,549763.4427
3369,1174000000,330,서울특별시,강동구,천호초등학교,1.17401E+24,1174010900,1174060000,서울특별시 강동구 구천면로 310-11 (천호동),3041,127.136443,37.547308,212057.3776,549763.4427
3370,1174000000,315,서울특별시,강동구,강동초등학교,1.17401E+24,1174010900,1174061000,서울특별시 강동구 상암로14길 77(천호동),2009,127.12997,37.54592,211485.5797,549608.6387
3371,1174000000,328,서울특별시,강동구,해공도서관,1.17401E+24,1174010900,1174061000,서울특별시 강동구 올림픽로 702(천호동),1932,127.126409,37.544355,211171.1681,549434.4414
3372,1174000000,340,서울특별시,강동구,동신중학교,1.17401E+24,1174010900,1174062000,서울특별시 강동구 진황도로 72(천호동),5000,127.134476,37.536743,211885.2552,548590.6628
3373,1174000000,335,서울특별시,강동구,성내1동 주민센터,1.17401E+24,1174010800,1174064000,서울특별시 강동구 성내로 13(성내동),184,127.122195,37.530529,210800.739,547899.4294
3374,1174000000,337,서울특별시,강동구,강동 어린이 회관,1.17401E+24,1174010800,1174064000,서울특별시 강동구 성내로6길 16(성내동),470,127.122421,37.529388,210820.8648,547772.8362
3375,1174000000,366,서울특별시,강동구,성내중학교,1.17401E+24,1174010800,1174064000,서울특별시 강동구 성안로 7(성내동),759,127.128884,37.524542,211392.892,547235.79
3376,1174000000,318,서울특별시,강동구,성내동교회,1.17401E+24,1174010800,1174065000,서울특별시 강동구 풍성로35길 53(성내동),548,127.125305,37.534112,211075.1411,548297.4623
3385,1174000000,365,서울특별시,강동구,둔촌중학교,1.17401E+24,1174010600,1174070000,서울특별시 강동구 진황도로61길 25-30 (둔촌동),1225,127.146206,37.530336,212923.1224,547881.0926
